label,text
pre_purchase,hey mate I just finished paying for my order and I was just wondering when I'm going to get that email to confirm it
post_purchase,these clothes I just bought from you guys too small is there any way I can change the size
post_purchase,what's the process I have to go through to send my product back for a swap
post_purchase,my shipment arrived this afternoon but it's wrong size is there anyone I can talk to you to change it
post_purchase,my shipment arrived this afternoon but it's wrong size is there anyone I can talk to you to change it
post_purchase,hey mate how you doing just calling in regards to the phone I just purchased from you guys faulty not working and there was damaged on the way here
post_purchase,my package was supposed to be delivered yesterday but if it didn't arrive is there someone I can talk to about my order
pre_purchase,hey just looking to place an order but I see that you have a promotion still running can you give me some more details behind this promotion
pre_purchase,hi Tony I just placed an order I'm currently having a few problems I was wondering if you could help me
pre_purchase,I just ordered the new remote control car off your website I was just didn't see how many horsepower it has can you tell me
pre_purchase,yeah hi John just calling in regards to a recent order I just placed I found a cheaper product online and I was wondering if I could cancel that
post_purchase,I just bought a product from you guys and I wouldn't want to know if I can send it back to get a colour change
pre_purchase,I was looking online it says that you're only sizes available or large and small I was wondering if you'll have any mediums in soon
post_purchase,I bought a pair of pants and they're the wrong colour is there any chance I can change that
post_purchase,my shipment arrived yesterday but it's not the right thing is there someone I can talk to you to fix it up
post_purchase,hey mate there must have been a problem with the shipping because the product I just received from you is damaged
post_purchase,hey mate I just bought a product from you guys and I'm just not happy with the pot the product can I return it
pre_purchase,yeah hey Steve just calling in regards to a recent order I just placed I was wondering if I could cancel that order
post_purchase,wrong package delivered
pre_purchase,party thank god I'm free been on hold for the last 30 minutes you got a couple of complaints made about this order I just posted
pre_purchase,hey mate just have a few questions regarding the recent order I just posted it shows that it's coming from overseas however when I look at the Australian soccer shop online it says that there's current stock in store for the Australian store
pre_purchase,hi just calling in regards to my order on November the 3rd I was just wondering when that's going to leave your office
post_purchase,all the things I receive my order yesterday with damaged I'm not sure what happened to delivery is there someone that can give me a hand
post_purchase,my order a 64321 arrived this morning but there's something wrong with it is there someone I can talk to you to fix it
pre_purchase,hi I just pre-ordered the nudity and this is my order number but doctor I was just wondering if you know where abouts it isn't shipment
post_purchase,calling in regards to the order I just got would love some support
pre_purchase,hey I was just wondering about the sizing on your shirts it says us as how does that relate to AUD
post_purchase,what's your refund policy on items that I've purchased from you guys
post_purchase,I just bought a item from you guys and I'd want to know if I can swap it for a different colour
pre_purchase,I just placed an order I was wondering how long shipping time would be expected to be
post_purchase,I got my order yesterday and the order number is 1863 3845 I'm just calling up to to check some more details on that
pre_purchase,it says here you have the iPhone x l and X I was wondering if you still stock the iPhone 10
pre_purchase,yeah hi Tommy I just placed an order with you guys but I use the wrong payment processing method I was wondering if I could change that
post_purchase,the product arrived and there was a few things in the box but two of them the wrong is there someone I can talk to about fixing up my order
post_purchase,yeah hello I'm just wondering if I can speak to someone about an order I received yesterday
pre_purchase,hi I recently ordered a new phone and I'm just wondering where I could find my reference number for the delivery
pre_purchase,just looking to get some more information on the current promotions you're offering right now before I place my order
pre_purchase,hi I just realised I ordered the wrong computer I was wondering if I could just cancel that and organise a refund
post_purchase,hey mate how you doing I'm just calling in regards to the product that god it's faulty and doesn't work
