its my job	é o meu trabalho
she is dead	ela está morta
how clever	que esperto
take it easy	pegue leve
wake up	acorda
be calm	fique calmo
i can run	eu sei correr
was it cold	estava frio
come on	venha
is that me	esse sou eu
youre small	você é pequeno
take it	pegaa
can tom sing	o tom sabe cantar
lets go	vamos
i want it	eu quero isso
answer me	me responda
my eyes hurt	meus olhos estão doendo
dont be rude	não seja grosseiro
i am a muslim	sou muçulmana
im too busy	estou muito ocupado
dont kid me	não brinque comigo
youre old	vós sois velhos
trust in me	confie em mim
im an actor	sou ator
keep focused	mantenhase focado
thats my cd	é o meu cd
its unusual	é incomum
i will wait	vou esperar
dont go	não vá
its not tom	não é o tom
im old	eu sou velha
mary is mine	a mary é minha
get some rest	descansa um pouco
get out	sai
he tries	ele tenta
have a look	dê uma olhada
leave me	me deixe
tom tried	o tom tentou
get lost	se manda
how strange	que estranho
were hot	nós estamos com calor
i can sing	eu sei cantar
well try	nós vamos tentar
i was awake	eu estava acordado
good night	boa noite
i found it	eu encontrei
get away	fora
god bless you	deus vos abençoe
get down	escreva
i forgot	me esqueci
i prayed	eu rezei
ive done it	eu fiz
i didnt ask	eu não perguntei
i am hungry	tenho fome
im safe now	eu estou seguro agora
i love mary	eu amo maria
were buying	nós estamos comprando
youre sad	vocês estão tristes
sign here	assine aqui
he is old	ele é velho
wash up	lavese
i miss you	estou com saudades de você
its snowing	está nevando
its true	é verdade
are you there	tu estás aí
we need tom	nós precisamos do tom
i like cats	eu gosto de gatos
its clear	é claro
is this mine	essa é a minha
i loved you	amavaa
what a pity	que lástima
youre sick	você é doente
im married	eu sou casado
im not you	não sou você
have a look	dá uma olhadela
i smiled	eu sorri
i surrender	eu me rendo
this is his	isto é dele
tom is a vet	tom é um veterano
i found it	achei
is it a wolf	é um lobo
who swam	quem nadou
i shouted	eu gritei
help me out	ajudeme
theyre kids	eles são crianças
who has it	quem tem
come inside	entra
you won	vocês venceram
ill pay you	eu irei te pagar
sign here	assina aqui
tom whistled	tom assobiou
tom is deaf	tom é surdo
dont move	não se mova
thats all	isso é tudo
bring backup	traga reforço
its so dark	está tão escuro
i wont die	eu não vou morrer
im fine	eu vou bem
dont laugh	não riam
tom is gone	tom se foi
well wait	nós esperaremos
im clumsy	sou desajeitado
tom was hit	tom foi atingido
he loves toys	ele adora brinquedos
tom is alive	tom está vivo
what fun	que divertido
she is eight	ela tem oito anos
anyone hurt	alguém machucado
there it is	aqui está
lighten up	relaxe
what a shock	que choque
get up	levantemse
of course	claro que sim
grab tom	pegue o tom
they love me	eles me amam
were weak	nós somos fracos
be careful	tenha cuidado
im not poor	não estou pobre
be punctual	sejam pontuais
toms early	tom está adiantado
dont cheat	não colem
dont fight	não lutem
i fixed it	eu a consertei
im fine	estou bem
i like that	gosto
hurry up	se apressa
catch tom	pegue o tom
i want one	quero um
youre crazy	você é doido
tom nodded	tom acenou
stop it	pare
we can pay	nós podemos pagar
im a doctor	eu sou médico
im horrible	estou horrível
come in	entra
i like it	eu gosto dele
ill get in	vou entrar
now go home	agora vá para casa
he is no fool	ele não está louco
who will pay	quem vai pagar
he avoids me	ele evitame
how beautiful	que bonita
is tom good	tom é bom
shut it off	desliguea
tom told him	tom disse a ele
are you lost	vocês estão perdidos
were mature	nós estamos maduros
im an adult	eu sou adulta
im neutral	eu sou neutro
toms thirty	o tom tem trinta anos
i love them	eu as amo
come at once	venha aqui imediatamente
i wont go	eu não irei
did it work	funcionou
i like girls	eu gosto de meninas
open fire	abrir fogo
it was empty	estava vazio
im healthy	estou com a saúde em dia
im through	terminei
i give up	eu desisto
toms coming	tom virá
tom arrived	tom chegou
here i come	aqui vou eu
i believe you	acredito em você
they fell	elas sentiram
i have needs	eu tenho necessidades
is it time	está na hora
be tolerant	seja tolerante
check again	verifique de novo
i am tired	eu estou cansada
i like him	eu gosto dele
i grunted	eu resmunguei
listen	escutai
well decide	nós decidiremos
i feel safe	eu me sinto em segurança
terrific	fantástico
back off	para trás
its sweet	isso é doce
come at once	venha logo de uma vez
he got away	ele se afastou
he runs	ele corre
i feel cold	tenho frio
it snowed	nevou
get moving	mexase
he is lazy	ele é preguiçoso
dont do that	não faça isso
stay calm	fique calmo
stop moving	parem de se mexer
take a bus	pegue um ônibus
youve grown	vocês cresceram
well do it	nós o faremos
put it there	coloqueo ali
how awful	que horror
we need more	precisamos de mais
we need time	nós precisamos de tempo
did i ask you	eu te pedi
dont go in	não entrem
answer me	me responde
ignore that	ignore isso
forget it	esqueça
stop that	pare com isso
now im sad	agora estou triste
he looks well	ele parece bem
i hate golf	eu odeio golfe
im starved	estou morto de fome
thats life	é a vida
tom stopped	o tom parou
is it windy	está ventando
a car hit tom	um carro bateu em tom
tom is timid	tom é tímido
go ahead	vá em frente
i know him	eu conheçoo
close the box	feche a caixa
i believe tom	acredito no tom
i sneezed	eu espirrei
that will do	isso bastará
im ok	estou bem
i do like tom	faço como o tom
i wont bite	não vou morder
warn tom	avisem ao tom
take care	tome cuidado
its a rumor	é boato
hands off	tire as mãos
get out	sai
im upset	eu estou chateado
were ok	estamos bem
no way	de modo algum
listen	escuta
keep walking	continue caminhando
i want mine	eu quero a minha
its wrong	está errado
bring food	traga comida
it was mine	era meu
i was fired	despediramme
tomll cry	tom vai chorar
they tried	eles tentaram
too late	tarde demais
tom cheats	tom trapaceia
birds sing	os pássaros cantam
toms pushy	tom é insistente
tom is lucky	tom é sortudo
no objection	sem objeções
am i fired	estou demitido
we talked	conversamos
we must act	nós precisamos agir
its too far	está longe demais
he went blind	ficou cego
im fasting	estou jejuando
im lucky	eu sou sortudo
its mine	é meu
i am a woman	sou mulher
dont try me	não me tente
im not home	não estou em casa
i agree	estou de acordo
tom is slow	tom é lento
he dug a hole	ele cavou um buraco
are they here	eles estão aqui
were joking	estamos brincando
try this	experimenta isto
tom answered	tom respondeu
youre timid	tu és tímido
tom isnt ok	tom não está bem
lets play	joguemos
help tom	ajudem o tom
i have a car	tenho um carro
i forgot	esqueci
im no fool	não sou idiota
tom stopped	tom parou
tom frowned	tom franziu a testa
youre nuts	está maluco
leave now	saia agora
im not ok	eu não estou bem
dont push me	não me empurre
goodbye	até mais ver
i will learn	irei aprender
im awake	estou acordado
im bald	eu sou careca
wait here	esperem aqui
hey relax	ei relaxe
ill ask tom	perguntarei ao tom
well fight	nós vamos lutar
its for you	é para você
i got stuck	eu fiquei preso
i want these	eu quero aqueles
ill live	eu vou viver
im not tom	eu não sou o tom
stay down	fiquem abaixados
i love tom	eu amo tom
im a farmer	sou um agricultor
i said no	eu disse que não
can i use it	posso usar isso
he is too old	ele é muito velho
im busy now	estou ocupado agora
i feel alive	sintome vivo
take care	toma cuidado
tom is nasty	o tom é repugnante
look at us	olhe para nós
dont panic	não entre em pânico
stop gawking	não fique aí babando
toms early	o tom está adiantado
look alive	ande
do your best	dê o melhor de si
tom snores	tom ronca
they agree	elas concordam
tom saw it	o tom o viu
dont argue	não discutas
of course	é claro
tom cringed	tom se encolheu
who is he	quem é ele
wholl start	quem vai começar
follow tom	siga o tom
i love you	eu vos amo
come out here	venha aqui
i found it	eu a encontrei
its perfect	está perfeito
hey its me	ei sou eu
i want that	quero aquilo
youre nuts	estás louco
they smiled	eles sorriram
run	corre
it may snow	pode nevar
hang on	aguarde
i need money	preciso de dinheiro
let me see	deixeme ver
who was here	quem estava aqui
were young	somos jovens
come quickly	venham rápido
shes stupid	ela é burra
i need you	preciso de você
tom ate	tom comeu
im blind	sou cega
step back	para trás
keep trying	continue tentando
is tom ill	o tom está doente
i got bored	eu fiquei entediada
i cant fly	eu não posso voar
i cant stop	não posso parar
tom is ugly	tom é feio
is it for me	isso é pra mim
he dozed off	ele adormeceu
tom did that	tom fez aquilo
wake up tom	acorde tom
calm down	acalmate
stay here	fiquem aqui
go home	vão para casa
do it anyway	faça de qualquer forma
im very fat	sou muito gordo
i trust you	confio em você
keep smiling	continue sorrindo
i hope not	espero que não
are you alone	você está só
look out	preste atenção
i survived	eu sobrevivi
get back here	volte aqui
we like tom	gostamos do tom
im nervous	estou nervoso
how annoying	que chato
seriously	é mesmo
ill try it	eu vou experimentar
you know her	vocês a conhecem
lifes short	a vida é curta
stop moving	pare de se mexer
let me die	deixeme morrer
im obese	estou obeso
we all quit	fomos todos embora
i understand	compreendo
i could help	eu pude ajudar
is it a joke	é uma piada
whats new	que novidade há
may i go	posso ir
are they busy	eles são ocupados
i need it	preciso disso
im fair	eu sou justo
tom is tired	tom está cansado
start over	recomece
come alone	venha sozinha
tell tom	conta para o tom
its a curse	isso é uma maldição
how is it	como é isso
we went out	nós saímos
tom wake up	tom acorda
you scare me	você me dá medo
check this	verifica isto
its a fish	isto é um peixe
stay a while	fique um pouco
stand still	fique parado
im free	estou livre
he has a car	ele possui um carro
vote for me	vote a meu favor
ive no idea	não faço ideia
that does it	tom faz
i missed it	perdi isso
its a trick	é um truque
be prepared	esteja preparado
i was cold	eu estava com frio
i will fight	eu vou lutar
dont be shy	não seja tímida
is it dirty	está sujo
tom hates me	tom me odeia
i want you	eu o quero
were twins	somos gêmeos
ignore him	ignore ele
they cheat	eles trapacearam
let go of me	solteme
im certain	estou seguro
wait a while	espere um momento
stop that	parem com isso
he is eating	ele está a comer
i ate out	eu comi fora
call home	ligue para casa
you can go	você pode ir
it is my cat	este é o meu gato
he lost face	ele perdeu prestígio
ask them	pergunte para elas
its clear	está claro
its	são
tom dozed	tom cochilou
point it out	indique
they agree	concordam
i called tom	eu liguei para o tom
ill be back	eu já volto
they lost	eles perderam
i love cats	amo gatos
i forgot it	eu me esqueci disso
can tom swim	tom sabe nadar
i cant sleep	eu não posso dormir
were crazy	somos malucas
whos paying	quem vai pagar
i always lose	eu sempre perco
stop tom	interrompam o tom
grab him	agarreo
i drive fast	eu dirijo rápido
go	vai
fix this	conserta isto
he loved her	ele a amava
love hurts	o amor machuca
be creative	sejam criativos
have another	toma outro
who wrote it	quem escreveu isso
we failed	falhamos
i use this	eu uso isso
im so fat	eu sou muito gordo
who phoned	quem chamou
im not poor	não sou pobre
are they here	elas estão aqui
how deep	quão fundo
are they busy	eles estão ocupados
will you go	você vai
i phoned	eu telefonei
no problem	sem problema
i resigned	eu renunciei
tom ate it	tom o comeu
im loyal	eu sou leal
got it	entendeu
take it easy	pega leve
it was wet	estava molhada
then what	e então
hands off	tirem as mãos
i dont cook	eu não cozinho
its funny	isso é engraçado
i found it	eu achei
tom finished	o tom terminou
theyve gone	elas se foram
we must try	devemos tentar
i often ski	eu esquio com frequência
whats that	o que é aquilo
are you nuts	você é louco
toms funny	tom é engraçado
i can jump	eu posso pular
thanks	obrigada
i feel old	sintome velha
see above	vejam acima
ill do this	vou fazer isso
im guilty	eu sou culpado
id do it	eu faria isso
i live here	moro aqui
we have food	temos comida
be kind	sejam gentis
im a father	sou pai
i am here	estou aqui
help me	me ajude
im staying	eu fico
youre old	as senhoras estão velhas
we lost	nós perdemos
no one cared	ninguém se importou
is it dirty	isso está sujo
were awake	estamos acordados
be realistic	seja realista
i like cats	eu adoro gatos
youre cute	tu és bonito
are we safe	estamos seguros
i do hope so	eu realmente espero
i have a pen	tenho uma caneta
he ran	ele corria
tom is mad	tom está louco
am i mistaken	estou errado
im dyslexic	sou disléxico
its hot	está quente
catch tom	peguem o tom
you are mad	você é louco
help tom out	ajude o tom
im safe now	estou seguro agora
im shocked	eu estou chocado
plants grow	as plantas crescem
look around	dá uma olhada em volta
see you	até mais
wait	espere
im nervous	eu estou nervoso
bring wine	tragam vinho
i was alone	eu estava sozinho
thats fine	está bem
come quickly	venha rápido
god bless you	deus te abençoe
why not both	por que não ambas
youre upset	tu estás chateado
youre old	és velha
are you lost	você está perdido
im naked	estou pelado
are you there	está aí
who is it	quem é
hes too old	ele é muito velho
im autistic	eu sou autista
were dying	estamos morrendo
we can begin	podemos começar
ive eaten	eu comi
i dont study	eu não estudo
im not here	eu não estou aqui
im so tired	estou tão cansado
life is fun	a vida é divertida
get started	comecem
look at that	olhem para aquilo
i miss you	sinto a tua falta
its amazing	isso é incrível
listen	escutemme
im addicted	estou viciado
im naive	eu sou ingênua
tom moaned	tom gemeu
i screamed	gritei
thats trash	é lixo
were fine	estamos bem
take a rest	descanse
this is free	é gratuito
thanks a lot	muito obrigado
be serious	fiquem sérias
whos that	quem é
its ours	é nosso
i will stay	eu vou ficar
toms happy	tom é feliz
im clumsy	sou desastrado
i hate you	eu te detesto
its monday	é segunda
i noticed	notei
im shy	eu sou tímido
who is there	quem está aí
tom is early	tom está adiantado
tom went out	tom saiu
tom looked	tom olhou
back off	recuem
i love rock	eu adoro rock
i hope not	eu espero que não
i am tall	eu sou alto
go away	afastese
i saw that	eu o vi
are you mad	você está com raiva
mary giggled	mary riuse à socapa
tomll come	tom vai vir
youre crazy	você é louco
im so fat	estou tão gordo
fantastic	fantástico
thats fun	isso é divertido
be tolerant	sede tolerantes
he was busy	ele estava ocupado
come off it	esqueça
got it	entendi
forget it	esqueça
thats trash	isso é lixo
where are we	onde nós estamos
be kind	sê gentil
try some	experimente
im a hero	sou herói
tom is crazy	o tom é louco
im relaxed	estou relaxada
who stood	quem estava de pé
i will shoot	irei atirar
toms afraid	tom está com medo
show me	mostreme
pick a card	escolha uma carta
were fair	nós somos justos
examine them	examineos
im winning	estou ganhando
ill ask tom	eu vou perguntar para o tom
tom spoke	tom falou
how awful	que ridículo
you used me	você me usou
am i fat	estou gordo
seriously	sério
i think so	acredito que sim
can i hug you	eu posso te abraçar
calm down	acalmese
am i dying	eu estou morrendo
anything new	alguma novidade
well try	nós tentaremos
i missed you	senti sua falta
he has a blog	ele tem um blog
after you	você primeiro
we forgot	nós esquecemos
wholl cook	quem vai cozinhar
were adults	nós somos adultos
did tom eat	o tom comeu
you may go	você pode ir
i am happy	estou contente
use this	use isso
ill open it	eu vou abrir
be nice	sejam legais
tom is out	tom está fora
do it with me	faz comigo
get serious	fique sério
bless you	saúde
tom is wrong	o tom está errado
hes not in	ele não está
i like that	gosto disso
did you lose	você perdeu
i miss you	tenho saudades tuas
i am a boy	sou um menino
i doubt it	eu duvido
dont talk	não fale
were dizzy	nós estamos tontos
let me out	deixame sair
im old	eu estou velha
it was sad	foi triste
tom drinks	tom bebe
get up	levantate
tom ran	o tom correu
tom knows	tom sabe
tom met mary	tom conheceu mary
we were busy	estávamos ocupados
step inside	dê um passo adentro
we loved tom	amávamos o tomás
be careful	toma cuidado
i hope so	espero que sim
is it true	é verdade
i am better	estou melhor
help	socorro
wait	esperem
i still care	eu ainda me importo
i like blue	eu gosto de azul
dont fight	não lutes
that was odd	isso foi estranho
take a seat	sentese
is it clean	está limpo
wow	nossa
come quickly	venha depressa
i live here	eu vivo aqui
well done	bem feito
help tom	ajude o tom
you may stay	vocês podem ficar
forget tom	esqueça o tom
i was stupid	eu fui estúpido
be careful	cuidado
listen	ouçame
i ate quickly	eu comi rápido
i like math	eu gosto de matemática
its	são
im loved	eu sou amada
he spoke	ele falou
its stuck	está emperrada
i think so	acho que sim
i cried a lot	eu chorei muito
im full	estou cheia
i didnt sing	eu não cantei
i enjoy that	eu gosto disso
im a pilot	sou piloto
i wont come	eu não irei
he is no fool	ele não é bobo
i want it	quero
no comment	sem comentários
may i eat	posso comer
stop singing	pare de cantar
youre funny	você é engraçado
theyre weak	eles são fracos
are you cops	vocês são policiais
drive on	dirija
we overslept	dormimos demais
he hung up	ele desligou
i keep a dog	eu crio um cachorro
how curious	que curioso
i need a hug	eu preciso de um abraço
were early	estamos adiantados
i forgot it	esqueci
its urgent	é urgente
they approve	eles aprovam
help us tom	ajudenos tom
its my bus	é o meu ônibus
hi im tom	oi sou o tom
were sad	nós estamos tristes
im so happy	eu sou tão feliz
i am curious	eu sou curiosa
let go of me	solteme
im in pain	estou com dor
we are free	estamos livres
get out	saiam
i am thirsty	tenho sede
it isnt tom	não é o tom
tom tries	o tom tenta
trust no one	não confie em ninguém
what is that	o que é aquilo
come with me	venha comigo
i loved you	amavao
theyll grow	elas crescerão
ask tom	pergunte a tom
how romantic	que romântico
whos she	quem é ela
let me out	deixame sair
its mine	é minha
no problem	problema nenhum
theyve gone	eles se foram
tom is wet	tom está molhado
he went blind	ele ficou cego
dont get up	não se levante
were saved	nós estamos salvos
be brave	seja corajoso
tom likes it	o tom gosta disso
were going	nós estamos indo
its perfect	isto é perfeito
toms bored	tom está entediado
who won	quem ganhou
is it normal	isso é normal
we want tom	nós queremos o tom
tom has ocd	tom tem toc
toms right	tom tem razão
eat and drink	coma e beba
tom wants it	o tom quer
im okay	estou bem
im ugly	estou feia
where is he	onde está ele
toms busy	tom está ocupado
i contributed	eu contribuí
i was dizzy	eu estava tonto
tom is odd	tom é esquisito
i am working	estou trabalhando
its ok	tudo bem
tom screamed	tom gritou
check this	verifiquem isto
is it to go	pra viagem
youre old	estais velhos
im coming	eu estou chegando
you are late	você está atrasado
do as he says	façam como ele diz
we failed	nós falhamos
has tom gone	o tom foi
nobody came	ninguém veio
be yourself	seja você mesmo
how many died	quantas pessoas morreram
do your best	dê o melhor de si
who said it	quem disse isso
here i come	estou chegando
hello girls	oi meninas
do it for tom	faça isso pelo tom
i remember	eu me lembro
what a pity	pena
ignore that	ignore
i was hungry	eu estava com fome
take tom	leve o tom
they want me	eles me querem
were lazy	nós somos preguiçosos
no one knows	ninguém faz ideia
i can do it	posso fazêlo
who yelled	quem gritou
i envy her	eu a invejo
he ran	ele correu
im fine	eu estou bem
oh come on	ah vamos
youre old	vós sois velhas
tom is alone	tom está sozinho
i like fruit	eu gosto de fruta
tom cheered	tom aplaudiu
im like tom	sou como o tom
toms not in	o tom não está dentro
theyre old	eles são velhos
we have room	temos espaço
its perfect	isso está perfeito
dont speak	não fale
attack	ataque
he wants more	ele quer mais
look at that	olhe para isso
now you try	agora tente você
keep quiet	fica quieto
leave town	deixem a cidade
im blind	sou cego
keep driving	continue dirigindo
keep this	fique com isto
were busy	estamos ocupados
im yours	eu sou seu
i know	sei
i work here	eu trabalho aqui
stop whining	pare de choramingar
be discreet	sede discretas
im so glad	estou tão feliz
she died	ela morreu
did we win	ganhamos
i want you	eu te quero
tomll talk	tom falará
i cheated	eu trapaceei
i love cats	eu amo gatos
we were lost	nós estávamos perdidas
she is wrong	ela está errada
tom listens	tom escuta
are you lost	vocês estão perdidas
its too far	é longe demais
im here	estou aqui
go ahead tom	prossiga tom
youre old	vocês estão velhas
i waited	eu esperei
i fainted	desmaiei
come closer	chegue mais perto
i talk a lot	eu falo muito
cut it out	pare com isso
i was drunk	eu estava bêbado
ill go	eu vou
here we are	estamos aqui
thats crazy	que loucura
i miss it	saudades
let me sing	deixeme cantar
be confident	sê confiante
was he tom	aquele era tom
how thrilling	que emocionante
dont come	não venham
am i safe now	estou seguro agora
hes broke	ele está duro
i live here	eu moro aqui
good evening	boa noite
im fat	estou gordo
stop talking	para de falar
i have to go	tenho de ir
youre early	você está adiantado
tom approves	tom aprova
i need money	eu necessito de dinheiro
im cold	estou com frio
you hurt him	você o feriu
back off	recua
toms tired	o tom está cansado
youll lose	você vai perder
they walked	eles caminharam
its at home	está em casa
tom is early	o tom está adiantado
can i ask why	eu posso perguntar o porquê
i apologize	peço perdão
my feet hurt	os meus pés estão doendo
youre cute	você é bonito
im thirty	tenho trinta anos
ill go	eu vou
i like cake	eu gosto de bolo
ill cancel	cancelarei
here or to go	para viagem ou para comer aqui
hes a liar	ele mente
run and hide	corre e escondete
do i know him	conheçoo
we promised	nós prometemos
well decide	decidiremos
who stole it	quem roubou
ill pay you	vou te pagar
dont come	não venha
i love jokes	eu adoro piadas
well decide	nos vamos decidir
you cheated	você trapaceou
i am okay	estou bem
i was wet	eu estava molhado
have some	pega um pouco
i missed you	senti tua falta
money talks	o dinheiro é rei
ask anybody	pergunta a alguém
im not rich	não sou rico
get a move on	avante
who vanished	quem desapareceu
tom will try	tom vai tentar
ignore him	ignora ele
tom is smart	tom é inteligente
i eat bread	como pão
im no liar	não sou mentiroso
hug me	me abrace
were right	nós estamos certos
who cares	quem se importa
i do think so	eu acho que sim
stand up	de pé
beat it	se manda
he loves them	ele as ama
calm down	acalmemse
thats her	é dela
many thanks	muito obrigado
were cold	estamos com frio
be creative	seja criativo
im finicky	eu sou exigente
i am happy	eu sou feliz
have a look	vê
my hip hurts	o meu quadril está doendo
stop arguing	pare de discutir
keep singing	continue cantando
i am a muslim	sou muçulmano
ill ask tom	irei perguntar ao tom
we remember	lembramos
im fasting	eu estou em jejum
we need help	precisamos de ajuda
excuse me	perdão
listen	escutem
its cloudy	está nublado
i am okay	eu estou bem
thats tom	aquele é o tom
its strange	é bizarro
thats a lie	isso é mentira
draw a circle	desenhe um círculo
here i come	eu venho
it will burn	vai queimar
tom obeyed	tom obedeceu
we feel bad	nos sentimos mal
this is ours	isso é nosso
i like that	eu gosto dele
im starving	estou morrendo de fome
who was that	quem era essa
youre scary	você é assustador
i like this	eu gosto disto
he talks well	ele fala bonito
step aside	se afaste
well start	nós iremos começar
who talked	quem falou
i failed	eu fracassei
you missed	você perdeu
i winked	eu pisquei
thats fair	é justo
shes hot	ela é gata
its a vice	é um vício
be creative	sede criativas
dont do it	não o faça
i hate tom	odeio tom
im very sad	eu estou muito triste
that is mine	isso é meu
hands off	tira as mãos
look there	olha ali
were paying	nós estamos pagando
tom saw you	tom te viu
theyre fast	eles são rápidos
he is a poet	ele é poeta
im ready	estou pronto
i feel happy	me sinto feliz
